disease,symptoms_causes,diagnosis,tests,treatment,prevention,source_url
Cholestasis of pregnancy,"appetite; foul-smelling stools; Loss; Loss of appetite; Nausea; Oily; Oily, foul-smelling stools; the eyes; the skin; whites; 35 years; an older age; babies; cholestasis; disease",a physical exam; bile acids; exam; medical history; Order blood; physical exam; questions; the level; Ultrasound; your symptoms,,cholestasis; cholestasis of pregnancy; complications; goals of treatment; itching; pregnancy; The goals; treatment; treatment for cholestasis; your baby,a particularly itchy patch; cholestasis; cholestasis of pregnancy; Cool baths; creams; feel less intense; lotions; no known way; Oatmeal baths; pregnancy; prevent; prevent cholestasis; skin; the itch; the itching,https://www.mayoclinic.org/diseases-conditions/cholestasis-of-pregnancy/symptoms-causes/syc-20363257
Chondrosarcoma,A growing lump; area; area of swelling; Increasing; Increasing pain; pain; the cancer; the spinal cord; Weakness or bowel and bladder control problems; a cell; A cell's DNA; cancer; changes; chondrosarcoma; Doctors,"a sample; Bone; Bone scan; care at Mayo; Chondrosarcoma care; CT scan; Imaging tests; Imaging tests.; Mayo Clinic; MRI; Physical exam; Physical exam.; scan; testing; tissue; X-ray; X-ray, bone scan; Your doctor; your signs",,a machine; a table; Cancer; cancer cells; Cancer treatment; care at Mayo; certain situations; Chemotherapy; Chondrosarcoma care; Chondrosarcoma treatment; high-powered energy beams; Mayo Clinic; other structures; Other treatments; precise points; Proton therapy; protons; radiation; Radiation therapy; rays; sources; surgery; the cancer; therapy; Transsphenoidal; treatment; Which options; your cancer; your overall health; your preferences,,https://www.mayoclinic.org/diseases-conditions/chondrosarcoma/symptoms-causes/syc-20354196
Chordoma,balance; blurred or double vision; breath; Facial; Facial paralysis; Headache; Hearing; Hearing loss; loss; Muscle; Muscle weakness; Neck; Neck pain; pain; paralysis,a healthcare; a physical exam; a sample; chordoma; imaging tests; Other tests; procedures; questions; tissue; your health history,a cancer; chordoma; CT scans; Imaging tests; Imaging tests make; location; MRIs; pictures; the body; the size,.; a sacral spine chordoma; a treatment; an operation; cancer; Cancer treatment; Chordoma treatment; location; nerves; Options; other tissue; powerful energy beams; Proton; Proton therapy; Radiation; radiation therapy; Radiation therapy.; surgery; Surgery.; targeted therapies; Targeted therapy.; the cancer; The goal; the size; therapy; Transsphenoidal; Treatment,,https://www.mayoclinic.org/diseases-conditions/chordoma/symptoms-causes/syc-20580258
Choroid plexus carcinoma,Blurred or double; Blurred or double vision; double vision; Headaches; Increased; Increased tiredness; Irritability; Nausea; Seizures; tiredness; Vomiting; A cell's DNA; a growth; any age; cells,Brain; Brain CT; Brain CT scan; Brain imaging tests; Brain imaging tests.; Brain magnetic resonance; Brain magnetic resonance imaging; certain genetic changes; CT scan; examinations; Genetic; Genetic testing; Genetic tests; Genetic tests.; images; magnetic resonance imaging; MRI; Neurological; Neurological exam; Neurological exam.,,Brain tumor; Brain tumor surgery; cancer cells; Chemotherapy; Chemotherapy.; Clinical trials; Clinical trials.; IMRT; Intensity-modulated radiation; Intensity-modulated radiation therapy; Intraoperative radiation; Intraoperative radiation therapy; IORT; medicines; new treatments; powerful energy beams; Radiation; Radiation therapy; Radiation therapy.; studies,,https://www.mayoclinic.org/diseases-conditions/choroid-plexus-carcinoma/symptoms-causes/syc-20578760
Chronic cough,A feeling; A runny or stuffy nose; a sour taste; blood; breath; Clearing your throat; coughing up blood; Heartburn; Hoarseness; liquid; rare cases; runny or stuffy; shortness; Sore; Sore throat,a chronic cough; a physical exam; A thorough medical history; important clues; physical exam; tests; the cause; Your health professional; Your healthcare; your medical history,"A bronchoscope; a fiberoptic scope; a rhinoscope; a routine chest; a sample; a thin, flexible tube; an asthma challenge test; asthma; bacteria; Bronchoscopy; Bronchoscopy.; colored; Computerized tomography scans; Computerized tomography scans.; COPD; cough; CT scans; healthcare professional; how much air; mucus; professional; ray; Rhinoscopy; Rhinoscopy.; spirometry; test a sample; the drug methacholine; the most common reasons; the mucus; These scans; These simple, noninvasive tests; This test; X-rays.; your healthcare; Your healthcare professional; your lungs","a bacterial, fungal; Acid blockers; Acid blockers.; Antibiotics; Antibiotics.; Antihistamines; Antihistamines, corticosteroids and decongestants.; asthma-related cough; care; corticosteroids; decongestants; Inhaled asthma medicines; Inhaled asthma medicines.; lifestyle changes; mycobacterial infection; The most effective treatments",a cool-mist humidifier; a cough; a cough suppressant; a dry cough; a medicine; a steamy shower; A teaspoon; Avoid tobacco smoke.; breathing; Consider taking honey.; cough drops; Cough suppressants; coughing; Drink fluids; Drink fluids.; hard candies; honey; Liquid; Moisturize the air.; professional; Smoking; that time; the air; the best treatment; the cause; the mucus; tobacco smoke; your cough; Your healthcare,https://www.mayoclinic.org/diseases-conditions/chronic-cough/symptoms-causes/syc-20351575
Chronic daily headaches,Chronic; Chronic migraine; Chronic tension-type; Chronic tension-type headache; continua; daily persistent headache; Hemicrania; Hemicrania continua; migraine; New daily persistent headache; persistent headache; tension-type headache; Anxiety; Brain; brain injury,Chronic daily headaches; CT scan; daily headaches care; EEG; electroencephalogram; examinations; Mayo Clinic; MRI; Neurological; Neurological examinations; scan; Urinalysis,,anti-inflammatory drugs; Anti-seizure medications; Anti-seizure medications.; Antidepressants; Antidepressants.; Beta blockers; Beta blockers.; Botox) injections; Botulinum toxin; Botulinum toxin.; Chronic daily headaches; daily headaches care; high blood pressure; Mayo Clinic; migraines; nortriptyline; NSAIDs; NSAIDs.; Prescription; relief,a common trigger; a headache diary; about the same times; activities; Avoid headache triggers.; Avoid medication overuse.; caffeine; chronic headaches; Don't skip meals.; enough sleep; Exercise regularly.; Get enough sleep.; headache medications; headache pain; headache triggers; healthy meals; meals; medication overuse; Reduce caffeine.; Reduce stress.,https://www.mayoclinic.org/diseases-conditions/chronic-daily-headaches/symptoms-causes/syc-20370891
Chronic exertional compartment syndrome,,,a stress fracture; compartment pressure measurement; imaging studies; pain; results; similar cause; the pressure; This test; your doctor; your muscle compartments,,,https://www.mayoclinic.org/diseases-conditions/chronic-exertional-compartment-syndrome/symptoms-causes/syc-20350830
Chronic granulomatous disease,A painful pocket; An ongoing runny nose; Bloody; Bloody stool; Chest pain; Diarrhea; Fever; Gastrointestinal; Gastrointestinal problems; include; inhaling or exhaling; ongoing runny nose; pain; pain when inhaling; pus,a dihydrorhodamine 123 (DHR) test; A genetic test; A healthcare; A healthcare professional; CGD; Chronic granulomatous disease; Chronic granulomatous disease care; Genetic; Genetic testing; Genetic testing.; Mayo Clinic; Neutrophil function tests; Neutrophil function tests.; Prenatal testing; Prenatal testing.; testing; the presence,,A healthcare; a stem cell transplant; bacterial and fungal infections; Bone marrow; Bone marrow transplant; CGD; CGD treatment; Chronic granulomatous disease; Chronic granulomatous disease care; defective genes; explored for CGD; further research; Gene therapy; Infection management; Infection management.; Interferon-gamma; interferon-gamma injections; Interferon-gamma.; marrow transplant; Mayo Clinic; Researchers; some people; Stem cell transplantation; Stem cell transplantation.; therapy; treat CGD; treatment,,https://www.mayoclinic.org/diseases-conditions/chronic-granulomatous-disease/symptoms-causes/syc-20355817
Chronic hives,angioedema; Batches; called pruritus; change shape; exercise; Flares; heat; Itchiness; months; more than six weeks; Painful swelling; pruritus; purple or skin-colored; size; Symptoms,a welt; activities; Allergy skin; Allergy skin tests; Any medicines; drink; eat; eat and drink; fade; herbal remedies; hives; painful swelling; skin tests; supplements; swelling; Your activities; your hives,,Doxepin; Montelukast; Omalizumab; Ranitidine; Silenor; Singulair; Xolair; Zonalon,animal contact; Avoid known triggers.; Bathe and change your clothes.; known triggers; pollen; that substance; your clothes; your hives,https://www.mayoclinic.org/diseases-conditions/chronic-hives/symptoms-causes/syc-20352719
Chronic kidney disease,ankles; appetite; breath; Chest pain; cramps; Decreased mental; Decreased mental sharpness; Dry; Fatigue; Fatigue and weakness; feet; fluid; High blood; High blood pressure; hypertension,a sample; biopsy; Blood tests; Blood tests.; Chronic kidney disease; Chronic kidney disease care; examinations; gadolinium; Imaging tests; Imaging tests.; Kidney; Kidney biopsy; kidney tissue; Mayo Clinic; MRI; Neurological; Neurological examinations; people; testing; the level,,a clinical trial right; a healthy kidney; A kidney transplant; Chronic kidney; chronic kidney disease; Chronic kidney disease care; complications; Deceased-donor kidney; Deceased-donor kidney transplant; Dialysis; Dialysis.; extra fluid; FAQs; Hemodialysis; Kidney; kidney disease; Kidney disease FAQs; Kidney transplant; Kidney transplant.; living donor; Living-donor kidney; Living-donor kidney transplant; measures; no cure; signs; some types; symptoms; the cause; Treatment,a healthy weight; added salt; Avoid products with added salt.; bananas; Choose lower potassium foods.; Chronic kidney disease; Chronic kidney disease care; Cigarette smoking; diet for vegetarians; diseases; Don't smoke.; Effectively managing chronic; existing kidney damage; Follow instructions on over-the-counter medications.; High-potassium foods; how many grams; instructions; kidney disease; lower potassium foods; Maintain a healthy weight.; managing chronic kidney; Mayo Clinic; nonprescription pain relievers; products; protein; Renal diet; right; sodium; the week; the-counter; vegetarians; weight; your doctor's help; your kidneys; your medical conditions,https://www.mayoclinic.org/diseases-conditions/chronic-kidney-disease/symptoms-causes/syc-20354521
Chronic lymphocytic leukemia,"Enlarged; Fatigue; Fever; Frequent; Frequent infections; infections; loss; lymph nodes; Night; Night sweats; Pain; painless, lymph nodes; sweats; the abdomen; the upper left portion",,a blood sample; A test; Analyze; Analyze lymphocytes for genetic changes.; aspiration; Bone marrow; Bone marrow biopsy; cells; characteristics; computerized tomography; genetic changes; Imaging tests; lymphocytes; positron emission tomography; Tests; the number; the type; your leukemia cells,A bone marrow transplant; a drug treatment; a stem cell transplant; Acupuncture; alternative therapies; Bone marrow transplant; Bone marrow transplant.; cancer; Chemotherapy; Chemotherapy.; chronic lymphocytic leukemia; early treatment; early-stage chronic lymphocytic leukemia; Exercise; fatigue; Immunotherapy; Immunotherapy.; lives; lymphocytic leukemia depend; Massage; medications; people; quickly growing cells; relief; several factors; signs; Some alternative medicine therapies; specific abnormalities; Studies; symptoms; Targeted drug therapy; Targeted drug therapy.; Targeted drug treatments; the potential side effects; the stage; the underlying causes; treatment; Yoga; your cancer; your chronic lymphocytic leukemia; Your doctor; your immune system; your options; your overall health; your preferences; Your treatment options,,https://www.mayoclinic.org/diseases-conditions/chronic-lymphocytic-leukemia/symptoms-causes/syc-20352428
Chronic myelogenous leukemia,amount of food; appetite; Bleeding; Bleeding easily; Blurry vision; Blurry vision caused; Bone; Bone pain; easily; Excessive sweating; Fatigue; Feeling full; Fever; food; loss,a bone marrow aspiration; A bone marrow biopsy; a healthcare professional; A sample; a small piece; a spot; a thin needle; blood; Blood tests; Blood tests.; bone marrow aspiration; Bone marrow biopsy; Bone marrow tests; Bone marrow tests.; liquid bone marrow; Physical exam; Physical exam.; Specialized tests; Tests; the hip bone; the Philadelphia chromosome; the same time; This second procedure; vital signs; Your health care provider,,a long-term remission; aggressive chronic myelogenous leukemia; cancer cells; Chemotherapy; Chemotherapy medicines; chronic myelogenous leukemia; chronic myelogenous leukemia treatment; kill cancer; kill cancer cells; medicines; most people; Side effects; specific chemicals; strong medicines; targeted therapy; the BCR-ABL gene; the blood cells; the cancer cells; the disease; The goal; the target; the tyrosine kinase protein; these chemicals; these medicines; treatment; which medicines,a chronic condition; help; Powerful cancer medicines; side effects; skin rashes; treatment; trouble; your health care provider; your side effects,https://www.mayoclinic.org/diseases-conditions/chronic-myelogenous-leukemia/symptoms-causes/syc-20352417
Chronic pelvic pain,a bowel movement; a long time; aching; An urgent or frequent need; Bloating; bowel movement; Constipation; Constipation or diarrhea; cramping; diarrhea; Dull; Dull aching; heaviness; long time; movement or urinating,a small cut; chlamydia; computerized tomography; CT scan; CT) scans; exam; illnesses; Lab tests; Lab tests.; Laparoscopy.; MRI; Other imaging tests; Other imaging tests.; Pelvic; Pelvic exam; Pelvic exam.; scan; sound waves; symptoms; the stomach area,,a cause; a specific cause; chronic pelvic pain; life; neuromodulation; Physical therapy; Physical therapy.; sensitive spots; some people; Spinal cord stimulation; Spinal cord stimulation.; symptoms; Talk therapy; Talk therapy.; that cause; the goal; The treatment; treatment; Trigger point injections; Trigger point injections.; Trigger points; your healthcare; your quality,an activity; extra weight; good posture; joints; Practice good; Practice good posture; regular exercise; the risk; your doctor,https://www.mayoclinic.org/diseases-conditions/chronic-pelvic-pain/symptoms-causes/syc-20354368
Chronic sinusitis,a runny nose; Aching; Bad; Bad breath; Blocked or stuffy nose; breath; congestion; Cough; Ear; Ear pain; Headache; Mucus; Pain; postnasal drip; Reduced sense,"A health care provider; a thin, flexible tube; allergies; Allergy skin; Allergy skin tests; An allergy test; An allergy test.; chronic sinusitis; CT or MRI scans; CT scan; details; endoscopy; Imaging tests; Imaging tests.; Lab tests; MRI; Nasal; Nasal and sinus samples; Nasal and sinus samples.; Nasal endoscopy.",,a specially designed squeeze bottle; allergies; Allergy medicines; Allergy medicines.; allergy shots; allergy symptoms; aspirin; Aspirin desensitization treatment; Aspirin desensitization treatment.; caused; caused or made; chronic sinusitis; Corticosteroids shots; Corticosteroids shots or pills.; immunotherapy; made; made worse; Medicine; Nasal corticosteroids; Nasal corticosteroids.; nasal polyps; NeilMed Sinus Rinse; people; pills; Saline nasal rinses; Saline nasal rinses.; sinusitis; sinusitis caused; worse by allergies,a humidifier; a towel; a warm compress; allergies; cigarette smoke; colds; Drink fluids; Drink fluids.; fluids; forehead; infection and speed recovery; Keep sinuses moist.; Manage allergies.; moist; people; plenty; polluted air; Protect your health.; Rest; Rest.; sinuses; symptoms; the air; the body; the nose; Tobacco smoke; Use a humidifier.; Use a warm compress.; your health; your health care provider; your home,https://www.mayoclinic.org/diseases-conditions/chronic-sinusitis/symptoms-causes/syc-20351661
Chronic traumatic encephalopathy,"balance; chronic traumatic encephalopathy; cognitive, behavioral, mood and movement changes; control; CTE; Gradual loss; linked to chronic; many other conditions; movements; no specific symptoms; people; Shaking, slow movement; speech; symptoms; the possible symptoms",Chronic traumatic encephalopathy; Chronic traumatic encephalopathy care; EEG; electroencephalogram; emission tomography scan; Mayo Clinic; MRI; Positron emission; Positron emission tomography; scan; SPECT; SPECT scan,,chronic traumatic encephalopathy; head injury; More research; no treatment; symptoms; the current approach; Therapies; time; traumatic brain injury; treatments,a concussion; additional injury; another head injury; Chronic traumatic encephalopathy; CTE; mild traumatic brain injuries; one concussion; People; The current recommendation; the risk,https://www.mayoclinic.org/diseases-conditions/chronic-traumatic-encephalopathy/symptoms-causes/syc-20370921
Cirrhosis,ankles; appetite; bleeding or bruising; blood vessels; called ascites; Confusion; drowsiness; Easily; Easily bleeding; Extreme; Extreme tiredness; eyes; feet; Fluid buildup; index finger,[Music playing]; a combination; a diagnosis; a routine blood test; Ask Mayo Clinic: Cirrhosis; checkup; cirrhosis; early-stage cirrhosis; laboratory and imaging tests; People; symptoms; the liver,a biopsy; A healthcare professional; A tissue sample; Alanine aminotransferase; Alkaline phosphatase; ALP; ALT) blood test; Aspartate aminotransferase; AST; Biopsy; Biopsy.; blood tests; care at Mayo; Certain imaging tests; Cirrhosis care; cirrhosis content; CT scan; decompensated cirrhosis; decompensated cirrhosis content; expertise; expertise on liver; function tests; Imaging tests; Imaging tests.; Lab tests; liver health; liver transplant; receive liver; receive liver transplant; transplant and decompensated,A buildup; A healthcare professional; alcohol dependency; Antibiotics; care at Mayo; Certain blood pressure medicines; cirrhosis; Cirrhosis care; Cirrhosis FAQs; extent; FAQs; fluid; further damage; Hepatic encephalopathy; Hepatic encephalopathy.; hepatitis; Increased liver cancer risk; Increased liver cancer risk.; increased pressure; Infections; Infections.; Liver; liver damage; Liver transplant; Mayo Clinic; Medicines; Medicines to control hepatitis.; other causes; other treatments; People; Portal hypertension; Portal hypertension.; regular blood tests; scar tissue; Some people; symptoms; the body; the cause; The goals; the liver; the progression; transplant; Treatment; Treatment for alcohol dependency.; Weight loss; Weight loss.,a diet; a healthy diet; a healthy weight; a low-sodium diet; alcohol; chronic alcohol use; cirrhosis; Don't drink alcohol.; Eat a healthy diet.; Eat a low-sodium diet.; Excess salt; fruits; hepatitis; infections; liver disease; Maintain a healthy weight.; needles; People; Protect yourself from infections.; Reduce your risk of hepatitis.; the liver; the-counter; Too much body fat; Use over-the-counter medicines carefully.; your body; your cirrhosis; your liver; your risk,https://www.mayoclinic.org/diseases-conditions/cirrhosis/symptoms-causes/syc-20351487
Claudication,,,"a comparison; a series; Ankle-brachial index; Ankle-brachial index,; blood; blood pressure; blood pressure measurements; computed tomography; Doppler ultrasound; Exercise testing; feet; Magnetic resonance imaging; MRI; pain; Pulse measurement; Segmental blood pressure measurement; Segmental blood pressure measurement,; the flow; the maximum distance; the maximum exertion",,,https://www.mayoclinic.org/diseases-conditions/claudication/symptoms-causes/syc-20370952
Cleft lip and cleft palate,a hard time; A split; both sides; Constant ear; Constant ear infections; ear infections; foods; hard time feeding; Liquids; Nasal speaking; Nasal speaking voice; only a small notch; speaking voice; the lip; the mouth,a baby; birth; cleft; cleft lip; cleft palate; lip; lip and cleft; Most cases; special tests; ultrasound,,a pediatric dentist; a psychologist; a special bottle nipple; Auditory or hearing; bite; breastfeeding consultants; Cleft lip and cleft palate care; cleft palate care; cleft repair; counselors; dentists; Ear; ear infections; Ear tubes; easier to speak; ENT doctors; Feeding strategies; Genetic; Genetic counselors; hearing aids; hearing specialists; Mayo Clinic; Monitoring; Nurse practitioners; Nurses; Nutrition or breastfeeding; Nutrition or breastfeeding consultants; Oral; oral health; Oral surgeons; Orthodontic adjustments; Orthodontists; other devices; otolaryngologists; otorhinolaryngologists; pathologists; Pediatric; special bottle nipple; Speech therapy; the child,a family history; alcohol; cleft lip; Consider genetic counseling.; Don't use tobacco or alcohol.; genetic counseling; important vitamins; prenatal vitamins; Take prenatal vitamins.; tobacco; Use; your healthcare,https://www.mayoclinic.org/diseases-conditions/cleft-palate/symptoms-causes/syc-20370985
Clubfoot,big toe; clubfoot; foot; the arch; The calf muscles; the foot; the heel; the leg; the other foot; turned so severely; a child; a parent; Amniotic fluid; due; due to genetics,a healthcare professional diagnoses; a routine ultrasound exam; birth; Many times; Often clubfoot; position; rays; the clubfoot; the newborn's foot; the shape; Ultrasound; X-ray,,called the Ponseti; Ponseti method; Stretching; Surgery; taping; the French method; the Ponseti method,alcohol; drink; drink alcohol; legal or illegal drugs; medicines; places; secondhand smoke; the streets; time,https://www.mayoclinic.org/diseases-conditions/clubfoot/symptoms-causes/syc-20350860
Cluster headache,A lot; a single cluster; Drooping; Drooping eyelid; Extreme sharp or stabbing pain; eye; eyelid; facial sweating; Forehead; Forehead or facial; lot of tears; one eye; Pain; Redness; Restlessness,A computerized tomography; A CT scan; A CT scan.; A magnetic resonance imaging; An MRI scan; An MRI scan.; Brain; Brain CT; Brain CT scan; Brain magnetic resonance; Brain magnetic resonance imaging; care at Mayo; Cluster headache care; CT scan; examinations; magnetic resonance imaging; Mayo Clinic; MRI; Neurological; Neurological examinations,,(Lithobid; a cluster headache; A form; a hand-held controller; a mask; A shot; a vein; agent verapamil; Calcium channel blockers; Calcium channel blockers.; cluster headache period; cluster headaches; Corticosteroids; Corticosteroids.; Dihydroergotamine; Dihydroergotamine.; Emgality; fast-acting medicines; Galcanezumab; Galcanezumab (Emgality).; Imitrex; lidocaine; Lithium; Lithium (Lithobid).; Local anesthetics; Local anesthetics.; Nerve block; Nerve block.; new attacks; no known cure; Noninvasive vagus nerve stimulation; Noninvasive vagus nerve stimulation (VNS).; Octreotide; Octreotide (Sandostatin).; Oxygen; Oxygen.; pain-relieving medicine; prednisone; pure oxygen; Sumatriptan; The calcium channel; the cluster headache period; The goal; The numbing effect; the pain; this version; treatment; Triptans; Triptans.,a cluster period; a regular sleep schedule; alcohol; beer; Do not drink alcohol.; Drinking alcohol; Stick,https://www.mayoclinic.org/diseases-conditions/cluster-headache/symptoms-causes/syc-20352080
Coarctation of the aorta,blood pressure; breathing; Changes; Chest; Chest pain; Cold; Cold feet; color; cramps; Difficulty; Difficulty breathing; Difficulty feeding; feeding; feet; Headaches,a healthcare professional checks blood pressure; aortic coarctation; birth; Diagnosis; life; pregnancy; Severe aortic coarctation; The condition; the heart condition; ultrasound images,A chest X-ray; A coronary angiogram; A CT scan; angiogram; Cardiac; cardiac catheterization; Cardiac magnetic resonance imaging; Cardiac magnetic resonance imaging (MRI).; catheterization; Chest X; Chest X-ray.; Chest X-rays; Coarctation; Computerized tomography; Computerized tomography (CT) scan.; Coronary angiogram; Coronary angiogram with cardiac catheterization.; CT angiogram; CT angiogram.; CT coronary angiogram,A heart procedure; coarctation; condition is diagnosed; heart condition; heart procedure; Medicines; other congenital heart defects; procedure; Surgery; the aorta; the aorta treatment; the heart condition; the person; the same time; Treatment,a family history; aorta; Bacteria; birth; coarctation; Get regular exercise.; heart conditions; lower blood pressure; no known way; present at birth; prevent coarctation; Prevent heart infections; Prevent heart infections.; regular exercise; the aorta; the inner lining; your healthcare team,https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/symptoms-causes/syc-20352529
Cold sore,aches; Blisters; Blisters.; crusting; Fever; gums; Headache; itching; lymph nodes; Many people; Muscle; Muscle aches; Oozing; Oozing and crusting.; Painful,a laboratory; a sample; cold sores; diagnose cold sores; health care; health care provider; testing; the blister; the diagnosis; Your health care provider,,(Zovirax; Acyclovir; Denavir; Famciclovir; Penciclovir; Valacyclovir; Valtrex; Zovirax,"a cold sore; A cold, damp cloth; a compress; a drying agent; a fever; Apply a compress.; Avoid sharing items.; blisters; cream; items; Keep your hands clean.; kissing and skin contact; lip balms; nonprescription pain medicine; other cold sore remedies; other people; pain relievers; people; Rest and try pain relievers.; Some nonprescription products; symptoms; towels; Try other cold sore remedies.; Use lip balms and cream.; Utensils; your hands; your lips",https://www.mayoclinic.org/diseases-conditions/cold-sore/symptoms-causes/syc-20371017
Colic,,,,an imbalance; an infant's digestive tract; colic; good bacteria; investigation; One factor; One treatment; probiotics; the helpful bacteria; the use,,https://www.mayoclinic.org/diseases-conditions/colic/symptoms-causes/syc-20371074
Colon cancer,a bowel movement; A change; A feeling; blood; bowel habits; cramps; Losing; Losing weight; more frequent diarrhea; Ongoing discomfort; Rectal bleeding; the belly area; the bowel; the stool; tiredness,a colonoscope; a colonoscopy; a healthcare professional; a sample; a scope; Blood tests; Blood tests.; clues; colon cancer; entire colon; healthcare professional; healthcare professional puts; professional puts; puts a colonoscope; testing; the colon; the entire colon; the inside; the rectum; tissue,a family history; age; an average risk; an increased risk; cancer treatment; care; care and management; colon cancer; colon cancer screening; colon cancer treatment; Doctors; free and receive; latest on colon; management; people; receive the latest; several different tests; Sign; your options,a large cancer; a treatment; advanced colon cancer; an operation; cancer cells; certain chemicals; chemotherapy; colon cancer; Colon cancer treatment; diseases; germs; Immunotherapy; its stage; medicines; medicines that attack; other cells; other sources; other treatments; people; powerful energy beams; protons; radiation therapy; rays; strong medicines; surgery; symptoms; Targeted therapy; targeted treatments; the body; the body's immune system; the cancer; the cancer's location; The energy; The immune system; the lymph nodes; the risk; these chemicals; Your health care team; Your treatment options,a healthy diet; a healthy weight; a variety; alcohol; at least 30 minutes; cancer screening; care at Mayo; Colon cancer; Colon cancer care; Colon cancer screening; exercise; fruits; Maintain a healthy weight.; Mayo Clinic; moderation; no more than one drink; smoking; Stop smoking.; Talk; the week; vegetables; what age; your health care team; your weight,https://www.mayoclinic.org/diseases-conditions/colon-cancer/symptoms-causes/syc-20353669
Colon polyps,a jellylike substance; A large colon polyp; a sign; Blood; bowel habits; cancer; Changes; Changes in bowel habits.; Changes in stool color.; colon polyps; Constipation; Iron deficiency anemia; Iron deficiency anemia.; Mucus; Mucus in stool.,a colonoscopy; a CT scan; a small tube; an FDA-approved blood screen; Barium; Barium enema; Blood-based testing; Blood-based testing.; colon cancer; Colon polyps; Colon polyps care; Colonoscopy; Colonoscopy .; DNA test; enema; Fecal occult blood; Fecal occult blood test; Flexible; Flexible sigmoidoscopy; Flexible sigmoidoscopy .,"an email preview; any
                            time; digestive health; free and receive; health innovations; in-depth guide; news; receive your in-depth; Subscribe for free; your in-depth guide",a colonoscopy; a rare inherited syndrome; colonoscopy; FAP; Minimally invasive surgery; Minimally invasive surgery.; Polypectomy; Polypectomy.; polyps; Total proctocolectomy; Total proctocolectomy.,a family history; Adopt healthy habits.; fruits; healthy habits; high risk; plenty; your options,https://www.mayoclinic.org/diseases-conditions/colon-polyps/symptoms-causes/syc-20352875
Color blindness,"Any colors; blue and yellow; colors; Different shades; red; red and green; shades of blue; a complex process; a mild, moderate or severe degree; all color wavelengths; Certain medicines; Certain medicines.; Color blindness; color vision; Damage",a color deficiency; a thorough eye exam; an eye care professional; certain colors; colored dots; numbers; specially designed pictures; Testing; These pictures; trouble,,a rare condition; a retina condition; birth; certain medicines; color deficiency; color vision difficulties; eye conditions; gene replacement techniques; Leber congenital amaurosis; most types; no treatments; One treatment; Some rare retinal disorders; study; the color vision problem; the medicine; the underlying eye disease; the use; the vision problem; These treatments,apps; colored objects; good color vision; individual colors; Label colored items; other items; phones; the order; Use technology; Use technology.,https://www.mayoclinic.org/diseases-conditions/color-blindness/symptoms-causes/syc-20354988
Coma,breathing; Closed; Closed eyes; Depressed brainstem reflexes; eyes; Irregular; Irregular breathing; light; limbs; No responses; painful stimuli; pupils; reflex movements; a brain disease; a coma,behavior; bruises; canals; cold or warm water; consciousness; Details; Events; losing consciousness; Medical history; nonprescription medicines; Noticeable symptoms; Observing breathing patterns; other conditions; prescription; Recent changes; reflexes; reflexive eye movements; response; signs; the affected person; the affected person's ear; the affected person's movements; the angle; the cause; the coma; the jaw or nail bed; the person; The person's drug use; the person's health; the skin; vomiting,alcohol; blood count; Carbon monoxide; Carbon monoxide poisoning; Complete blood; Complete blood count; Drug; Drug or alcohol; Electrolytes; glucose; kidney and liver; kidney and liver functions; monoxide poisoning; sugar; Thyroid,A coma; a medical emergency; A person; a vein; breathing; breathing assistance; circulation; Healthcare professionals; medicines; the affected person's airway,,https://www.mayoclinic.org/diseases-conditions/coma/symptoms-causes/syc-20371099
Common cold,a mild headache; Cough; feeling unwell; fever; Generally feeling; Generally feeling unwell; Low-grade; Low-grade fever; Runny or stuffy; Runny or stuffy nose; scratchy throat; Slight body; Slight body aches; Sneezing; Sore or scratchy,A chest X; a common cold; medical care; Most people; other illnesses; ray; symptoms; their symptoms; Your care provider; your health care provider,,Drink plenty; Humidify; Humidify the air; liquids; nasal rinses; plenty; Rest; saline nasal; saline nasal rinses; the air,1/4 to 1/2 teaspoon; 1250 to 2500 milligrams; a cold; a fever; a saltwater gargle; a suction bulb; An effective nasal decongestant; care; Chicken soup; Clean and disinfect.; clear my nose; clear policies; close contact; Cold remedies; colds; cool-mist humidifier; cough; Cover your cough.; Don't share.; doorknobs; Drink plenty of fluids.; effective nasal decongestant; fluids; glasses; good hygiene practices; Humidifiers; humidity; ice chips; infants; light switches; lozenges; other family members; people; plenty; share; sleep; Sneeze; soap; surfaces,https://www.mayoclinic.org/diseases-conditions/common-cold/symptoms-causes/syc-20351605
Common cold in babies,,,,,a baby; a fever; a fever reducer; a natural response; a prescription; fever; medicine; the virus; your baby; your child,https://www.mayoclinic.org/diseases-conditions/common-cold-in-babies/symptoms-causes/syc-20351651
Common variable immunodeficiency,adults; childhood; common variable immunodeficiency; CVID; How bad symptoms; many people; people; repeated infections; Symptoms; the teen years; a gene change; a mix; factors; most CVID cases; Researchers,,,,,https://www.mayoclinic.org/diseases-conditions/common-variable-immunodeficiency/symptoms-causes/syc-20355821
